season,week,home_team,away_team,home_points,away_points,neutral,conference_game,home_conference,away_conference
2004,1,Miami (OH),Indiana State,49,0,False,False,Mid-American,Gateway Football
2004,1,Murray State,Glenville State,56,3,False,False,OVC,
2004,1,Samford,West Alabama,34,20,True,False,OVC,
2004,1,Virginia Tech,USC,13,24,False,True,ACC,Pac-10
2004,2,Western Carolina,West Virginia State,77,7,False,False,Southern,
2004,2,Delaware,New Hampshire,21,24,True,True,Atlantic 10,Atlantic 10
2004,2,Hofstra,UAlbany,45,0,True,False,Atlantic 10,NEC
2004,2,Eastern Michigan,Buffalo,37,34,False,True,Mid-American,Mid-American
2004,2,Villanova,Bucknell,20,14,True,False,Atlantic 10,Patriot
2004,2,Missouri State,Drake,31,26,True,False,MVFC,Pioneer
2004,2,Youngstown State,Slippery Rock,35,13,False,False,Gateway Football,
2004,2,Nicholls,Eastern Washington,37,14,False,False,Southland,Big Sky
2004,2,Utah,Texas A&M,41,21,False,False,Mountain West,Big 12
2004,2,Stephen F. Austin,Henderson State,30,14,False,False,Southland,
2004,2,Southern Illinois,Southeast Missouri State,42,3,True,False,Gateway Football,OVC
2004,2,Illinois State,Saint Xavier,44,14,False,False,Gateway Football,
2004,2,Ball State,Boston College,11,19,False,False,Mid-American,Big East
2004,2,Western Michigan,UT Martin,42,0,False,False,Mid-American,OVC
2004,2,SE Louisiana,Arkansas Monticello,46,32,False,False,FCS Independents,
2004,2,TCU,Northwestern,48,45,False,True,Conference USA,Big Ten
2004,2,Arizona State,UTEP,41,9,False,False,Pac-10,Western Athletic
2004,2,Portland State,Western Colorado,38,0,True,False,Big Sky,
2004,2,New Mexico,Washington State,17,21,False,True,Mountain West,Pac-10
2004,2,Iowa,Kent State,39,7,False,False,Big Ten,Mid-American
2004,2,Air Force,California,14,56,False,True,Mountain West,Pac-10
2004,2,Ohio State,Cincinnati,27,6,False,True,Big Ten,Conference USA
2004,2,Michigan,Miami (OH),43,10,False,False,Big Ten,Mid-American
2004,2,UConn,Murray State,52,14,True,False,Big East,OVC
2004,2,Oklahoma,Bowling Green,40,24,False,False,Big 12,Mid-American
2004,2,Wisconsin,UCF,34,6,False,False,Big Ten,Mid-American
2004,2,Temple,Virginia,14,44,False,False,Big East,ACC
2004,2,Vanderbilt,South Carolina,6,31,False,True,SEC,SEC
2004,2,Holy Cross,Duquesne,7,31,False,False,Patriot,Metro Atlantic Athletic
2004,2,La Salle,Wagner,28,35,True,False,Metro Atlantic Athletic,NEC
2004,2,Delaware State,Massachusetts,0,51,False,False,MEAC,Atlantic 10
2004,2,Alabama State,Howard,27,12,True,False,SWAC,MEAC
2004,2,Georgia Tech,Samford,28,7,False,False,ACC,OVC
2004,2,Iona,Montclair State,27,42,True,False,Metro Atlantic Athletic,
2004,2,Fordham,Rhode Island,36,37,True,False,Patriot,Atlantic 10
2004,2,Lafayette,Marist,48,7,False,False,Patriot,Metro Atlantic Athletic
2004,2,Georgetown,Saint Francis,36,7,False,False,Patriot,NEC
2004,2,Sacred Heart,Central Connecticut,6,27,False,True,NEC,NEC
2004,2,Lehigh,Stony Brook,25,2,False,False,Patriot,NEC
2004,2,Robert Morris,Buffalo State,47,10,True,False,NEC,
2004,2,North Carolina,William & Mary,49,38,False,True,ACC,Atlantic 10
2004,2,Iowa State,Northern Iowa,23,0,False,False,Big 12,Gateway Football
2004,2,Elon,Towson,13,34,False,False,Southern,Atlantic 10
2004,2,Northeastern,Cheyney,71,0,True,False,Atlantic 10,
2004,2,Auburn,UL Monroe,31,0,False,False,SEC,Sun Belt
2004,2,Wyoming,App State,53,7,True,False,Mountain West,Southern
2004,2,Jacksonville State,Emporia State,25,16,False,False,OVC,
2004,2,Georgia,Georgia Southern,48,28,False,False,SEC,Southern
2004,2,Montana,Maine,27,20,False,False,Big Sky,Atlantic 10
2004,2,Rutgers,Michigan State,19,14,False,False,Big East,Big Ten
2004,2,UCLA,Oklahoma State,20,31,False,False,Pac-10,Big 12
2004,2,Clemson,Wake Forest,37,30,False,True,ACC,ACC
2004,2,Penn State,Akron,48,10,False,False,Big Ten,Mid-American
2004,2,Northern Colorado,North Dakota State,15,13,False,False,Great West,Great West
2004,2,Marshall,Troy,15,17,False,False,Mid-American,Sun Belt
2004,2,South Carolina State,Benedict,51,0,True,False,MEAC,
2004,2,Norfolk State,Virginia State,7,17,False,False,MEAC,
