season,team,conference,sp_overall,sp_offense,sp_defense,sp_special,sp_sos,second_order_wins,wins,losses,games,conf_wins,conf_losses,expected_wins,talent,recruit_points,recruit_rank,class_size,bluechips,fivestars,bluechip_ratio,ret_ppa,ret_pass_ppa,ret_rush_ppa,ret_recv_ppa,ret_usage,ret_pass_usage,portal_in,portal_out,portal_net,portal_in_val,portal_out_val,portal_net_val,coach,ppg,papg,margin_pg,n_games,close_games,close_wins,close_win_pct
2004,Air Force,Mountain West,-0.9,36.6,36.9,,,,5.0,6.0,11.0,4.0,5.0,,,21.9,116.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,Fisher DeBerry,29.636363636363637,31.09090909090909,-1.4545454545454546,11.0,3.0,1.0,0.3333333333333333
2005,Air Force,Mountain West,-3.4,32.1,35.5,,0.961,5.4,4.0,7.0,11.0,4.0,5.0,,,41.08,112.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,Fisher DeBerry,30.0,31.727272727272727,-1.7272727272727273,11.0,5.0,1.0,0.2
2006,Air Force,Mountain West,-8.8,24.0,31.7,-1.1,0.883,4.1,4.0,8.0,12.0,3.0,5.0,,,45.95,115.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,Fisher DeBerry,23.25,25.166666666666668,-1.9166666666666667,12.0,7.0,2.0,0.2857142857142857
2007,Air Force,Mountain West,5.7,30.3,25.4,0.8,0.939,8.9,9.0,4.0,13.0,6.0,3.0,,,32.03,114.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,29.416666666666668,19.333333333333332,10.083333333333334,12.0,2.0,1.0,0.5
2008,Air Force,Mountain West,-0.7,23.0,24.6,0.9,0.95,6.5,8.0,5.0,13.0,5.0,3.0,,,23.97,117.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,26.666666666666668,21.25,5.416666666666667,12.0,4.0,2.0,0.5
2009,Air Force,Mountain West,4.7,21.3,17.4,0.8,0.923,8.0,8.0,5.0,13.0,5.0,4.0,,,95.62,105.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,28.25,15.333333333333334,12.916666666666666,12.0,4.0,0.0,0.0
2010,Air Force,Mountain West,3.9,30.5,24.7,-1.9,0.901,9.1,9.0,4.0,13.0,5.0,3.0,8.082355311158674,,26.17,120.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,32.25,22.25,10.0,12.0,4.0,1.0,0.25
2011,Air Force,Mountain West,-0.7,32.9,33.9,0.3,0.93,6.7,7.0,6.0,13.0,3.0,4.0,7.479387776699607,,77.86,89.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,34.416666666666664,27.25,7.166666666666667,12.0,1.0,1.0,1.0
2012,Air Force,Mountain West,-10.0,28.0,36.2,-1.7,0.957,6.2,6.0,7.0,13.0,5.0,3.0,7.507393463407663,,121.39,86.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,28.5,28.666666666666668,-0.16666666666666666,12.0,5.0,2.0,0.4
2013,Air Force,Mountain West,-16.9,26.6,45.2,1.6,0.964,3.1,2.0,10.0,12.0,0.0,8.0,4.942299640380659,,106.74,107.0,38.0,0.0,0.0,0.0,,,,,,,,,,,,,Troy Calhoun,24.666666666666668,40.0,-15.333333333333334,12.0,2.0,0.0,0.0
