national_rank,team,conference,projected_rating,lo_68,hi_68,lo_95,hi_95
1,Ohio State,Big Ten,28.57,20.52,36.62,12.79,44.35
2,Oregon,Big Ten,27.57,19.52,35.62,11.79,43.35
3,Georgia,SEC,26.17,18.12,34.22,10.39,41.95
4,Notre Dame,FBS Independents,23.51,15.46,31.56,7.73,39.28
5,Texas A&M,SEC,23.5,15.45,31.55,7.72,39.28
6,Texas,SEC,20.41,12.36,28.46,4.64,36.19
7,Texas Tech,Big 12,20.41,12.36,28.46,4.64,36.19
8,Miami,ACC,19.82,11.77,27.87,4.04,35.6
9,Ole Miss,SEC,19.62,11.57,27.67,3.84,35.4
10,USC,Big Ten,18.49,10.44,26.54,2.71,34.27
11,Oklahoma,SEC,18.49,10.44,26.53,2.71,34.26
12,Alabama,SEC,17.98,9.93,26.03,2.2,33.75
13,Washington,Big Ten,16.75,8.7,24.8,0.97,32.53
14,Tennessee,SEC,16.38,8.33,24.43,0.6,32.15
15,Michigan,Big Ten,16.36,8.31,24.41,0.58,32.13
16,Indiana,Big Ten,15.82,7.77,23.87,0.04,31.6
17,Utah,Big 12,15.42,7.37,23.47,-0.36,31.2
18,Iowa,Big Ten,13.45,5.4,21.5,-2.33,29.22
19,BYU,Big 12,13.28,5.23,21.33,-2.5,29.06
20,Missouri,SEC,12.48,4.43,20.53,-3.3,28.25
21,Arizona,Big 12,11.32,3.27,19.37,-4.46,27.09
22,Florida State,ACC,11.09,3.04,19.14,-4.69,26.86
23,LSU,SEC,11.02,2.97,19.07,-4.76,26.79
24,Clemson,ACC,11.01,2.96,19.06,-4.77,26.79
25,South Carolina,SEC,10.93,2.88,18.98,-4.85,26.71
26,Vanderbilt,SEC,10.75,2.7,18.8,-5.03,26.53
27,SMU,ACC,9.91,1.86,17.96,-5.87,25.69
28,Florida,SEC,8.92,0.88,16.97,-6.85,24.7
29,Penn State,Big Ten,8.0,-0.05,16.05,-7.78,23.78
30,Northwestern,Big Ten,7.88,-0.17,15.93,-7.9,23.66
31,Illinois,Big Ten,7.72,-0.33,15.77,-8.06,23.49
32,San Diego State,Pac-12,7.42,-0.63,15.47,-8.35,23.2
33,Houston,Big 12,6.84,-1.21,14.89,-8.94,22.61
34,Louisville,ACC,6.6,-1.45,14.65,-9.17,22.38
35,Kansas State,Big 12,6.17,-1.88,14.22,-9.6,21.95
36,Auburn,SEC,5.53,-2.52,13.58,-10.25,21.3
37,NC State,ACC,5.17,-2.88,13.22,-10.61,20.95
38,TCU,Big 12,4.91,-3.14,12.96,-10.86,20.69
39,Nebraska,Big Ten,4.67,-3.38,12.72,-11.11,20.44
40,Washington State,Pac-12,3.91,-4.14,11.96,-11.87,19.69
41,Western Kentucky,Conference USA,3.89,-4.16,11.94,-11.89,19.67
42,Mississippi State,SEC,3.84,-4.21,11.89,-11.94,19.62
43,Maryland,Big Ten,3.82,-4.23,11.87,-11.96,19.6
44,Boise State,Pac-12,3.77,-4.28,11.82,-12.01,19.55
45,Pittsburgh,ACC,3.76,-4.29,11.8,-12.02,19.53
46,UTSA,American Athletic,3.66,-4.39,11.71,-12.12,19.44
47,Minnesota,Big Ten,3.6,-4.45,11.65,-12.18,19.37
48,Georgia Tech,ACC,3.34,-4.71,11.39,-12.43,19.12
49,Texas State,Pac-12,2.73,-5.32,10.78,-13.05,18.51
50,James Madison,Sun Belt,2.72,-5.33,10.76,-13.06,18.49
51,Western Michigan,Mid-American,2.24,-5.81,10.29,-13.54,18.01
52,Rutgers,Big Ten,2.2,-5.85,10.24,-13.58,17.97
53,Fresno State,Pac-12,2.07,-5.98,10.12,-13.71,17.84
54,Duke,ACC,1.88,-6.17,9.93,-13.9,17.65
55,Baylor,Big 12,1.34,-6.71,9.39,-14.44,17.12
56,North Dakota State,Mountain West,0.76,-7.29,8.81,-15.01,16.54
57,New Mexico,Mountain West,0.74,-7.31,8.79,-15.04,16.52
58,Sacramento State,Mid-American,0.56,-7.49,8.61,-15.22,16.34
59,Virginia,ACC,0.56,-7.49,8.61,-15.22,16.33
60,Kansas,Big 12,0.43,-7.62,8.48,-15.34,16.21
61,Toledo,Mid-American,0.37,-7.67,8.42,-15.4,16.15
62,South Florida,American Athletic,0.3,-7.75,8.35,-15.48,16.08
63,Wake Forest,ACC,0.21,-7.84,8.26,-15.57,15.99
64,Old Dominion,Sun Belt,-0.17,-8.22,7.88,-15.95,15.6
65,Kentucky,SEC,-0.32,-8.37,7.73,-16.1,15.46
66,Iowa State,Big 12,-0.35,-8.4,7.7,-16.12,15.43
67,Hawai'i,Mountain West,-0.6,-8.65,7.45,-16.37,15.18
68,UNLV,Mountain West,-0.66,-8.71,7.39,-16.43,15.12
69,Tulane,American Athletic,-0.72,-8.77,7.33,-16.5,15.05
70,Arkansas,SEC,-0.86,-8.9,7.19,-16.63,14.92
71,East Carolina,American Athletic,-1.02,-9.07,7.03,-16.8,14.76
72,Wisconsin,Big Ten,-1.03,-9.08,7.02,-16.81,14.75
73,UCF,Big 12,-1.07,-9.12,6.98,-16.85,14.71
74,Arizona State,Big 12,-1.16,-9.21,6.89,-16.94,14.62
75,Delaware,Conference USA,-1.39,-9.44,6.66,-17.16,14.39
76,North Carolina,ACC,-1.4,-9.45,6.65,-17.17,14.38
77,Army,American Athletic,-1.43,-9.48,6.62,-17.2,14.35
78,Southern Miss,Sun Belt,-1.82,-9.87,6.23,-17.6,13.96
79,Marshall,Sun Belt,-1.89,-9.94,6.16,-17.67,13.88
80,Utah State,Pac-12,-1.9,-9.95,6.15,-17.68,13.88
81,Ohio,Mid-American,-2.03,-10.08,6.02,-17.81,13.75
82,North Texas,American Athletic,-2.08,-10.13,5.97,-17.86,13.7
83,Cincinnati,Big 12,-2.15,-10.2,5.9,-17.93,13.63
84,Memphis,American Athletic,-2.21,-10.26,5.84,-17.98,13.57
85,Louisiana Tech,Sun Belt,-2.41,-10.46,5.64,-18.19,13.37
86,Troy,Sun Belt,-2.47,-10.51,5.58,-18.24,13.31
87,California,ACC,-2.9,-10.95,5.15,-18.67,12.88
88,Jacksonville State,Conference USA,-3.59,-11.64,4.46,-19.37,12.19
89,Louisiana,Sun Belt,-3.62,-11.67,4.43,-19.39,12.16
90,West Virginia,Big 12,-3.85,-11.9,4.2,-19.63,11.92
91,South Alabama,Sun Belt,-3.91,-11.96,4.14,-19.69,11.87
92,Temple,American Athletic,-4.04,-12.09,4.01,-19.82,11.74
93,Purdue,Big Ten,-4.43,-12.48,3.62,-20.21,11.35
94,UCLA,Big Ten,-4.63,-12.67,3.42,-20.4,11.15
95,Air Force,Mountain West,-4.69,-12.74,3.36,-20.47,11.08
96,Miami (OH),Mid-American,-4.91,-12.96,3.14,-20.69,10.86
97,App State,Sun Belt,-4.98,-13.03,3.07,-20.76,10.8
98,Colorado,Big 12,-5.12,-13.17,2.93,-20.89,10.66
99,Virginia Tech,ACC,-5.2,-13.25,2.85,-20.98,10.58
100,Michigan State,Big Ten,-5.25,-13.3,2.8,-21.02,10.53
101,Navy,American Athletic,-5.41,-13.46,2.64,-21.19,10.37
102,UConn,FBS Independents,-5.83,-13.88,2.22,-21.61,9.95
103,Arkansas State,Sun Belt,-6.07,-14.12,1.97,-21.85,9.7
104,Liberty,Conference USA,-6.39,-14.44,1.66,-22.17,9.39
105,Central Michigan,Mid-American,-6.45,-14.5,1.6,-22.22,9.33
106,Florida Atlantic,American Athletic,-6.5,-14.55,1.55,-22.28,9.28
107,Kennesaw State,Conference USA,-6.67,-14.72,1.38,-22.44,9.11
108,Akron,Mid-American,-7.06,-15.11,0.99,-22.84,8.72
109,Tulsa,American Athletic,-7.88,-15.93,0.17,-23.65,7.9
110,Syracuse,ACC,-8.66,-16.71,-0.61,-24.44,7.12
111,Boston College,ACC,-8.74,-16.79,-0.69,-24.52,7.03
112,Georgia Southern,Sun Belt,-8.81,-16.86,-0.76,-24.59,6.97
113,Eastern Michigan,Mid-American,-8.85,-16.9,-0.8,-24.63,6.93
114,Wyoming,Mountain West,-9.47,-17.52,-1.42,-25.25,6.31
115,Florida International,Conference USA,-9.53,-17.58,-1.48,-25.31,6.25
116,Rice,American Athletic,-10.04,-18.09,-1.99,-25.82,5.73
117,Stanford,ACC,-10.06,-18.11,-2.01,-25.84,5.72
118,Northern Illinois,Mountain West,-10.2,-18.25,-2.15,-25.97,5.58
119,Nevada,Mountain West,-10.37,-18.42,-2.32,-26.15,5.4
120,Oregon State,Pac-12,-10.44,-18.49,-2.39,-26.22,5.33
121,UAB,American Athletic,-10.55,-18.6,-2.5,-26.33,5.23
122,Missouri State,Conference USA,-10.62,-18.67,-2.57,-26.39,5.16
123,Buffalo,Mid-American,-10.69,-18.74,-2.64,-26.47,5.09
124,Bowling Green,Mid-American,-11.35,-19.4,-3.3,-27.13,4.43
