conf_rank,national_rank,team,conference,projected_rating,lo_68,hi_68,lo_95,hi_95
1,3,Georgia,SEC,26.17,18.12,34.22,10.39,41.95
2,5,Texas A&M,SEC,23.5,15.45,31.55,7.72,39.28
3,6,Texas,SEC,20.41,12.36,28.46,4.64,36.19
4,9,Ole Miss,SEC,19.62,11.57,27.67,3.84,35.4
5,11,Oklahoma,SEC,18.49,10.44,26.53,2.71,34.26
6,12,Alabama,SEC,17.98,9.93,26.03,2.2,33.75
7,14,Tennessee,SEC,16.38,8.33,24.43,0.6,32.15
8,20,Missouri,SEC,12.48,4.43,20.53,-3.3,28.25
9,23,LSU,SEC,11.02,2.97,19.07,-4.76,26.79
10,25,South Carolina,SEC,10.93,2.88,18.98,-4.85,26.71
11,26,Vanderbilt,SEC,10.75,2.7,18.8,-5.03,26.53
12,28,Florida,SEC,8.92,0.88,16.97,-6.85,24.7
13,36,Auburn,SEC,5.53,-2.52,13.58,-10.25,21.3
14,42,Mississippi State,SEC,3.84,-4.21,11.89,-11.94,19.62
15,65,Kentucky,SEC,-0.32,-8.37,7.73,-16.1,15.46
16,70,Arkansas,SEC,-0.86,-8.9,7.19,-16.63,14.92
